fraction_of_full_entropy_deficit,DeltaS_nats,log10_wait_factor,log10log10_wait_factor,status
1e-12,3.1883530721780297e+110,1.3846841456061985e+110,110.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
7.943282347242822e-06,2.5325988675009164e+117,1.0998937130300728e+117,117.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
9.999999999999999e-06,3.1883530721780295e+117,1.3846841456061984e+117,117.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.2589254117941688e-05,4.013898704336929e+117,1.7432140582121402e+117,117.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
1.584893192461114e-05,5.053199079257439e+117,2.1945764760800982e+117,117.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.995262314968883e-05,6.361600731732086e+117,2.762808093862934e+117,117.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
2.5118864315095822e-05,8.008780820865884e+117,3.478169317274649e+117,117.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
3.1622776601683795e-05,1.0082457692877804e+118,4.378755740039821e+117,117.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
3.9810717055349776e-05,1.2693062202903475e+118,5.512526873175713e+117,117.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
5.011872336272725e-05,1.5979618560719223e+118,6.939860163839141e+117,117.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
6.309573444801943e-05,2.011714787686719e+118,8.736766314555138e+117,117.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
7.943282347242822e-05,2.5325988675009163e+118,1.0998937130300726e+118,118.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
0.0001,3.18835307217803e+118,1.3846841456061987e+118,118.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.0001258925411794166,4.0138987043369208e+118,1.7432140582121366e+118,118.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
0.00015848931924611174,5.0531990792574495e+118,2.194576476080103e+118,118.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.00019952623149688828,6.361600731732085e+118,2.762808093862933e+118,118.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.0002511886431509582,8.008780820865885e+118,3.478169317274649e+118,118.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
0.00031622776601683794,1.0082457692877803e+119,4.378755740039821e+118,118.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.0003981071705534969,1.2693062202903448e+119,5.512526873175701e+118,118.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
0.0005011872336272735,1.5979618560719254e+119,6.939860163839155e+118,118.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.0006309573444801943,2.0117147876867188e+119,8.736766314555136e+118,118.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.0007943282347242822,2.532598867500916e+119,1.0998937130300726e+119,119.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
0.001,3.1883530721780297e+119,1.3846841456061985e+119,119.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.0012589254117941662,4.013898704336921e+119,1.7432140582121367e+119,119.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
0.0015848931924611173,5.053199079257449e+119,2.1945764760801027e+119,119.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.001995262314968883,6.361600731732085e+119,2.7628080938629332e+119,119.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.002511886431509582,8.008780820865884e+119,3.478169317274649e+119,119.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
0.0031622776601683794,1.0082457692877805e+120,4.3787557400398214e+119,119.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.0039810717055349856,1.2693062202903499e+120,5.512526873175723e+119,119.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
0.005011872336272735,1.5979618560719254e+120,6.939860163839155e+119,119.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.006309573444801942,2.0117147876867186e+120,8.736766314555136e+119,119.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.00794328234724282,2.532598867500916e+120,1.0998937130300725e+120,120.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
0.01,3.1883530721780297e+120,1.3846841456061986e+120,120.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.012589254117941713,4.0138987043369373e+120,1.7432140582121438e+120,120.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
0.015848931924611172,5.0531990792574485e+120,2.1945764760801026e+120,120.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.01995262314968883,6.361600731732085e+120,2.7628080938629333e+120,120.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.025118864315095822,8.008780820865885e+120,3.478169317274649e+120,120.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
0.03162277660168379,1.0082457692877803e+121,4.3787557400398207e+120,120.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.03981071705534985,1.2693062202903499e+121,5.512526873175722e+120,120.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
0.05011872336272735,1.5979618560719255e+121,6.939860163839155e+120,120.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.06309573444801943,2.0117147876867188e+121,8.736766314555137e+120,120.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.07943282347242822,2.5325988675009163e+121,1.0998937130300727e+121,121.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
0.1,3.18835307217803e+121,1.3846841456061986e+121,121.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.12589254117941714,4.013898704336938e+121,1.7432140582121441e+121,121.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
0.15848931924611173,5.053199079257449e+121,2.1945764760801028e+121,121.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.19952623149688828,6.361600731732085e+121,2.7628080938629334e+121,121.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.25118864315095824,8.008780820865885e+121,3.478169317274649e+121,121.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
0.31622776601683794,1.0082457692877804e+122,4.378755740039821e+121,121.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.39810717055349853,1.26930622029035e+122,5.512526873175723e+121,121.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
0.5011872336272735,1.5979618560719254e+122,6.939860163839154e+121,121.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.6309573444801942,2.0117147876867188e+122,8.736766314555136e+121,121.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
0.7943282347242822,2.5325988675009162e+122,1.0998937130300727e+122,122.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
1.0,3.1883530721780297e+122,1.3846841456061986e+122,122.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
